nom_recherche,trouve,personne_id,nom_tmdb,alias,date_naissance,date_deces,lieu_naissance,genre,departement_connu,biographie,popularite,url_photo,imdb_id,nb_films_realises,filmographie,film_miniature
Oliver Hirschbiegel,TRUE,7832,Oliver Hirschbiegel,올리버 히르비겔,1957-12-29,NA,"Hamburg, Germany",Homme,Directing,Oliver Hirschbiegel (born 26 March 1957) is a German film director. His works include Das Experiment and the Oscar nominated Der Untergang.,1.0413,https://image.tmdb.org/t/p/w500/6BcZ54IsaNJ5wBqwV7cVTG0QwCb.jpg,nm0386570,19,,./img_persons_tmdb/img_png/img_7832.png
Zola Maseko,TRUE,1056266,Zola Maseko,NA,NA,NA,NA,Non specifie,Directing,,0.5617,NA,nm0563220,6,,NA
James Wan,TRUE,2127,James Wan,NA,1977-02-26,NA,"Kuching, Sarawak, Malaysia",Homme,Directing,"James Wan (born 26 February 1977) is an Australian filmmaker. He has primarily worked in the horror genre as the co-creator of the Saw and Insidious franchises and the creator of The Conjuring Universe. The lattermost is the highest-grossing horror franchise at over $2 billion. Wan is also the founder of the film and television production company Atomic Monster.

Beginning his career with the Saw franchise, Wan made his feature directorial debut with his first film in 2004. The franchise became commercially successful and grossed more than $1 billion globally. Following a period of setbacks, Wan found new success with the Insidious series, in which he directed the first film in 2010 and its 2013 sequel. The same year as the second Insidious, Wan directed the first Conjuring film to critical and commercial success. He served as the director of the second installment in 2016 and produced subsequent films in the franchise.

Outside of horror, Wan directed Furious 7 (2015), the seventh installment of the Fast & Furious franchise, and the DC Extended Universe superhero films Aquaman (2018) and its sequel Aquaman and the Lost Kingdom (2023). Both Furious 7 and Aquaman grossed over $1 billion, making Wan the eighth director with two films to reach the milestone. He is the 16th highest-grossing director of all time as of 2021, with his films having grossed over $3.7 billion worldwide.

Description above from the Wikipedia article James Wan, licensed under CC-BY-SA, full list of contributors on Wikipedia.",4.0967,https://image.tmdb.org/t/p/w500/bNJccMIKzCtYnndcOKniSKCzo5Y.jpg,nm1490123,17,,./img_persons_tmdb/img_png/img_2127.png
Katsuhiro Otomo,TRUE,185,Katsuhiro Otomo,"Katsuhiro Ôtomo, Katsuhiro Ootomo",1954-04-14,NA,"Miyagi, Japan",Homme,Writing,"Katsuhiro Otomo is a Japanese comic book creator, screenwriter and film director. He is best known as the creator of the manga Akira and its animated film adaptation. He also directed several live-action movies.",1.8046,https://image.tmdb.org/t/p/w500/hMxQlQa0cKLx086va8KDIyOdxO1.jpg,nm0960028,14,,./img_persons_tmdb/img_png/img_185.png
Alex Proyas,TRUE,21085,Alex Proyas,NA,1963-09-23,NA,"Alexandria, Egypt",Homme,Directing,"Alexander ""Alex"" Proyas (born 23 September 1963) is an Australian filmmaker. He is best known for directing the films The Crow (1994), Dark City (1998), I, Robot (2004), Knowing (2009), and Gods of Egypt (2016).",1.2612,https://image.tmdb.org/t/p/w500/mO9l5kK98stC34jRuvFOWQtpC8l.jpg,nm0001639,30,,./img_persons_tmdb/img_png/img_21085.png
Neil Burger,TRUE,17329,Neil Burger,닐 버거,1963-11-22,NA,"Greenwich, Connecticut, USA",Homme,Directing,"Neil Burger is an American film director who has filmed the pseudo-documentary, Interview with the Assassin (2002), the period drama, The Illusionist, and the 2011 thriller Limitless.

Description above from the Wikipedia article Neil Burger, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.2949,https://image.tmdb.org/t/p/w500/vTNNx4d3uy6v30DmWCRcqeBxeGb.jpg,nm1139726,11,,./img_persons_tmdb/img_png/img_17329.png
George Nolfi,TRUE,1921,George Nolfi,NA,1968-06-10,NA,"Boston, Massachusetts, USA",Homme,Writing,"George Nolfi (born June 10, 1968) is an American screenwriter. He is best known for writing The Adjustment Bureau (which he also directed), Ocean’s 12, and The Bourne Ultimatium, all of which starred Matt Damon.",1.2182,https://image.tmdb.org/t/p/w500/dYr20UCtki5iRg0k2zSKjG36QKy.jpg,nm1079776,4,,./img_persons_tmdb/img_png/img_1921.png
Fritz Lang,TRUE,68,Fritz Lang,NA,1890-12-05,1976-08-02," Vienna, Austria",Homme,Directing,"Friedrich Christian Anton ""Fritz"" Lang (December 5, 1890 – August 2, 1976) was an Austrian-German film director, screenwriter, and occasional film producer and actor. One of the best known émigrés from Germany's school of Expressionism, he was dubbed the ""Master of Darkness"" by the British Film Institute. Andrew Sarris in his influential book of film criticism The American Cinema: Directors and Directions 1929–1968 included him in the ""pantheon"" of the 14 greatest film directors who had worked in the United States.

Lang's most famous films are the groundbreaking science-fiction film Metropolis (1927) - the world's most expensive silent film at the time of its release - and the influential thriller film M (1931), made before he moved to the United States. Lang's work had a significant influence on the film noir genre and in Hollywood, he made some classics himself, such as Scarlet Street (1945) and The Big Heat (1953).",1.8327,https://image.tmdb.org/t/p/w500/9dz4PmFzlSyexldWrOXBLLpkBqB.jpg,nm0000485,44,,./img_persons_tmdb/img_png/img_68.png
Jacques Tati,TRUE,5763,Jacques Tati,"雅克·塔蒂, Жак Тати, Jacques Tatischeff, 자끄 타티, 자크 타티",1907-10-09,1982-11-04,"Le Pecq, Yvelines, France",Homme,Directing,"Jacques Tati (born Jacques Tatischeff; 9 October 1907 – 5 November 1982) was a French filmmaker, working both as a comedic actor and director. In a poll conducted by Entertainment Weekly of the Greatest Movie Directors Tati was voted the 46th greatest of all time. With only six feature-length films to his credit as director, he directed fewer films than any other director on this list of 50.",1.1099,https://image.tmdb.org/t/p/w500/eNZoS6LrQE2E4o71w7A6dBUhYoo.jpg,nm0004244,9,,./img_persons_tmdb/img_png/img_5763.png
George Lucas,TRUE,1,George Lucas,"George Walton Lucas Jr. , George Walton Lucas Junior",1944-05-14,NA,"Modesto, California, USA",Homme,Directing,"George Walton Lucas Jr. (born May 14, 1944) is an American filmmaker and entrepreneur. Lucas is known for creating the Star Wars and Indiana Jones franchises and founding Lucasfilm, LucasArts and Industrial Light & Magic. He served as chairman of Lucasfilm before selling it to The Walt Disney Company in 2012.

After graduating from the University of Southern California in 1967, Lucas co-founded American Zoetrope with filmmaker Francis Ford Coppola. Lucas wrote and directed THX 1138 (1971), based on his earlier student short Electronic Labyrinth: THX 1138 4EB, which was a critical success but a financial failure. His next work as a writer-director was the film American Graffiti (1973), inspired by his youth in early 1960s Modesto, California, and produced through the newly founded Lucasfilm. The film was critically and commercially successful, and received five Academy Award nominations including Best Picture.

Lucas's next film, the epic space opera Star Wars (1977), had a troubled production but was a surprise hit, becoming the highest-grossing film at the time, winning six Academy Awards and sparking a cultural phenomenon. Lucas produced and co-wrote the sequels The Empire Strikes Back (1980) and Return of the Jedi (1983). With director Steven Spielberg, he created, produced and co-wrote the Indiana Jones films Raiders of the Lost Ark (1981), Temple of Doom (1984), The Last Crusade (1989) and Kingdom of the Crystal Skull (2008). He also produced and wrote a variety of films and television series through Lucasfilm between the 1970s and the 2010s.

In 1997, Lucas rereleased the Star Wars trilogy as part of a special edition featuring several alterations; home media versions with further changes were released in 2004 and 2011. He returned to directing with a Star Wars prequel trilogy comprising The Phantom Menace (1999), Attack of the Clones (2002), and Revenge of the Sith (2005). He last collaborated on the CGI-animated television series Star Wars: The Clone Wars (2008–2014, 2020), the war film Red Tails (2012), and the CGI film Strange Magic (2015).

Lucas is one of history's most financially successful filmmakers and has been nominated for four Academy Awards. His films are among the 100 highest-grossing movies at the North American box office, adjusted for ticket-price inflation. Lucas is considered a significant figure of the 20th-century New Hollywood movement.

Description above from the Wikipedia article George Lucas, licensed under CC-BY-SA, full list of contributors on Wikipedia.",3.9817,https://image.tmdb.org/t/p/w500/mDLDvsx8PaZoEThkBdyaG1JxPdf.jpg,nm0000184,18,,./img_persons_tmdb/img_png/img_1.png
Christopher Nolan,TRUE,525,Christopher Nolan,"Christopher Edward Nolan, Chris Nolan, Sir Christopher Nolan, Sir Christopher Edward Nolan, Christopher E. Nolan",1970-07-30,NA,"Westminster, London, England, UK",Homme,Directing,"Christopher Nolan (born 30 July 1970) is a British and American filmmaker. Known for his Hollywood blockbusters with complex storytelling, Nolan is considered a leading filmmaker of the 21st century. His films have earned over $7.7 billion worldwide, making him the third-highest-grossing film director of all time. Nolan's accolades include two Academy Awards, a Golden Globe Award, and two British Academy Film Awards. He was also appointed a Commander of the British Empire (CBE) in 2019 and was knighted in 2024 for his contributions to film.

Nolan developed an interest in filmmaking from a young age. After studying English literature at University College London, he made several short films before his feature film debut with Following (1998). Nolan gained international recognition with his second film, Memento (2000), and transitioned into studio filmmaking with Insomnia (2002). He became a high-profile director with The Dark Knight trilogy (2005–2012) and found further success with The Prestige (2006), Inception (2010), Interstellar (2014) and Dunkirk (2017). After the release of the critically polarising Tenet (2020), Nolan parted ways with longtime distributor Warner Bros. Pictures over their streaming release strategy and signed with Universal Pictures for the highly successful Oppenheimer (2023) and The Odyssey (2026). The former won him Academy Awards for Best Director and Best Picture.

Three of Nolan's films have been inducted into the United States National Film Registry. Additionally, two of his films are among the highest-grossing films of all time. Infused with a metaphysical outlook, his works thematise epistemology, existentialism, ethics, the construction of time and the malleable nature of memory and personal identity. They feature mathematically inspired images and concepts, unconventional narrative structures, practical special effects, experimental soundscapes, large-format film photography and materialistic perspectives. His enthusiasm for the use and preservation of analogue and IMAX film cameras in cinema production, as opposed to digital, has also garnered significant attention. He has co-written several of his films with his brother, Jonathan, and runs the production company Syncopy Inc. with his wife, Emma Thomas. Nolan has also been president of the Directors Guild of America since 2025.

Description above from the Wikipedia article Christopher Nolan, licensed under CC-BY-SA, full list of contributors on Wikipedia.",10.1562,https://image.tmdb.org/t/p/w500/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,nm0634240,20,,./img_persons_tmdb/img_png/img_525.png
Michael Curtiz,TRUE,4109,Michael Curtiz,"Manó Kertész Kaminer, Miska, Michael Courtice, Michael Kertesz, Mihaly Kertesz, Michael Kertész, Mihály Kertész, Kertész Mihály, Manó Kaminer, 마이클 커티즈",1886-12-24,1962-04-10,"Budapest, Austria-Hungary [now Hungary]",Homme,Directing,"Michael Curtiz (December 24, 1886 — April 10, 1962), born Manó Kaminer, was a Hungarian-American film director. He had early credits as Mihály Kertész and Michael Kertész. He directed more than fifty films in Europe and more than one hundred in the United States. The best-known were The Adventures of Robin Hood, Angels with Dirty Faces, Casablanca, Yankee Doodle Dandy, and White Christmas. He thrived in the heyday of the Warner Bros. studio in the 1930s and '40s.

Curtiz was less successful from the late 1940s onwards, when he attempted to move from studio direction into production and freelance work, but he continued working until shortly before his death.",1.3343,https://image.tmdb.org/t/p/w500/AnxPuEsdjPTJ6uIaHY0KdgBeu7t.jpg,nm0002031,168,,./img_persons_tmdb/img_png/img_4109.png
Elisa Moar,TRUE,4079223,Elisa Moar,NA,NA,NA,NA,Non specifie,Directing,,0.892,NA,NA,2,,NA
Catherine Breillat,TRUE,6295,Catherine Breillat,NA,1948-07-13,NA,"Bressuire, Deux-Sèvres, Poitou-Charentes, France",Femme,Directing,"Catherine Breillat (born 13 July 1948 in Bressuire, Deux-Sèvres) is a French filmmaker, novelist and Professor of Auteur Cinema at the European Graduate School.",1.2379,https://image.tmdb.org/t/p/w500/wIJr8XJc7QjTCydM810YCWEK2oD.jpg,nm0106924,20,,./img_persons_tmdb/img_png/img_6295.png
Robert Trachtenberg,TRUE,1195887,Robert Trachtenberg,NA,1962-11-01,NA,NA,Homme,Directing,,0.629,NA,NA,9,,NA
Randa Haines,TRUE,19798,Randa Haines,NA,1945-02-20,NA,"Los Angeles, California, United States",Femme,Directing,"From Wikipedia, the free encyclopedia.

Randa Haines (born February 20, 1945 in Los Angeles, California) is a film and television director and producer. She is perhaps most famous for directing the critically acclaimed feature film Children of a Lesser God (1986), which starred William Hurt and Marlee Matlin, for which Matlin won the 1987 Academy Award as best actress. Haines also won the Silver Bear at the 37th Berlin International Film Festival. In 1989, she was a member of the jury at the 39th Berlin International Film Festival.

Haines received a Directors Guild of America Award nomination for that film and was nominated both for the DGA Award and an Emmy Award in 1984 for the television movie Something About Amelia.

Description above from the Wikipedia article Randa Haines, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.0169,https://image.tmdb.org/t/p/w500/f5kyZ9vpyNF8cYbGZS7uAio7er6.jpg,nm0354279,8,,./img_persons_tmdb/img_png/img_19798.png
Tom Zubrycki,TRUE,1348366,Tom Zubrycki,NA,1946-01-01,NA,"London, England, UK",Homme,Directing,,0.3958,https://image.tmdb.org/t/p/w500/nPPW0pRmG7ryvsTW7Hsu324UiqE.jpg,nm0958308,24,,./img_persons_tmdb/img_png/img_1348366.png
Chloé Barreau,TRUE,4183725,Chloé Barreau,NA,NA,NA,NA,Non specifie,Directing,,0.424,https://image.tmdb.org/t/p/w500/6gj7xYOLgwGSnA6LWqf62ksONWE.jpg,NA,3,,./img_persons_tmdb/img_png/img_4183725.png
Jennifer Tran,TRUE,2361635,Jennifer Tran,NA,NA,NA,NA,Non specifie,Directing,,0.25,NA,NA,1,,NA
John Landis,TRUE,4610,John Landis,"John David Landis, 约翰·兰迪斯",1950-08-03,NA,"Chicago, Illinois, USA",Homme,Directing,"John David Landis (born August 3, 1950) is an American film director, screenwriter, actor, and producer. He is known for his comedies, his horror films, and his music videos with singer Michael Jackson.",2.1092,https://image.tmdb.org/t/p/w500/nXKdxxELgAaGecCpxAWCoj6TV3f.jpg,nm0000484,33,,./img_persons_tmdb/img_png/img_4610.png
Neil Jordan,TRUE,17016,Neil Jordan,NA,1950-02-25,NA,"Sligo, Ireland",Homme,Directing,"Neil Patrick Jordan (born 25 February 1950) is an Irish filmmaker and novelist. He won the Academy Award for Best Original Screenplay for The Crying Game (1992).

Description above from the Wikipedia article Neil Jordan, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.1885,https://image.tmdb.org/t/p/w500/uZ7CvCLTKb9qxjU4VsTNeyMRucd.jpg,nm0001403,25,,./img_persons_tmdb/img_png/img_17016.png
Alan J. Pakula,TRUE,6349,Alan J. Pakula,"アラン・J・パクラ, Aran J pakura, Алан Дж. Пакула, Alan Dzh. Pakula, 艾伦·杰伊·帕库拉, Ài lún·jié yī·pà kù lā, آلان جي باكولا, alan ji bakula, 앨런 J. 퍼쿨러, aelleon J. peokulleo, アラン ジェイ パクラ, Aran Jei pakura, آلان جيه باكولا, alan jih bakula, Alan Jay Pakula",1928-04-07,1998-11-19,"New York City, New York, USA",Homme,Directing,"Alan Jay Pakula (/pəˈkuːlə/; April 7, 1928 – November 19, 1998) was an American film director, screenwriter, and producer. Associated with the New Hollywood movement, his best-known works include his critically acclaimed ""paranoia trilogy"": the neo-noir mystery Klute (1971), the conspiracy thriller The Parallax View (1974), and the Watergate scandal drama All the President's Men (1976). His other notable films included Comes a Horseman (1978), Starting Over (1979), Sophie's Choice (1982), Presumed Innocent (1990), and The Pelican Brief (1993).

Pakula received Academy Award nominations for Best Director for All the President's Men and Best Adapted Screenplay for Sophie's Choice. He was also nominated for Best Picture for producing To Kill a Mockingbird (1962). Additionally, he was a BAFTA Award, Golden Globe Award, and Directors Guild of America Award nominee.

Pakula's films often dealt with psychological and political themes. His obituary in The New York Times stated Pakula made ""different kinds of movies, all of them intended to entertain, but the thread connecting many of them was a style that emphasized and explored the psychology and motivations of his characters."" He was the subject of the 2023 documentary Alan Pakula: Going for Truth.

Description above from the Wikipedia article Alan J. Pakula, licensed under CC-BY-SA, full list of contributors on Wikipedia.",0.9878,https://image.tmdb.org/t/p/w500/wo1wSAMUc5jhq3jiLzqOq518EVS.jpg,nm0001587,16,,./img_persons_tmdb/img_png/img_6349.png
Guillaume Foirest,TRUE,1288038,Guillaume Foirest,NA,NA,NA,NA,Non specifie,Directing,,0.5173,https://image.tmdb.org/t/p/w500/4Buj0ioG5WBrXRGlPNWXaKfaOxk.jpg,nm2589757,3,,./img_persons_tmdb/img_png/img_1288038.png
Jordan Swann,TRUE,5139429,Jordan Swann,NA,NA,NA,NA,Non specifie,Acting,,0.6379,https://image.tmdb.org/t/p/w500/ubGWDRNB2MkVd3KFQ0Mx4Klz763.jpg,NA,1,,./img_persons_tmdb/img_png/img_5139429.png
Justin Dec,TRUE,1346242,Justin Dec,NA,NA,NA,"Woburn, Massachusetts, U.S.",Homme,Writing,"Justin Dec was born and raised in Woburn, Massachusetts, a suburb of Boston. He graduated with a BSA in Film from Full Sail University in 2001. He worked for many years as a production assistant before writing/directing his first short film, ""Rolling"", a film festival favorite that won Best Director at the 2010 New York Television Festival. He has two Vimeo Staff Picks, an Addy-Award Winning commercial campaign, and over 10 million views online. His feature film debut ""Countdown"" was the #1 new movie opening weekend at the domestic box office. The film cost $6.5 million and has grossed over $60 million worldwide.",0.4637,https://image.tmdb.org/t/p/w500/32WGOy3UZMUEp5yZWEfxuttnpne.jpg,nm2280148,3,,./img_persons_tmdb/img_png/img_1346242.png
Jean-Mathieu Bérubé,TRUE,1686346,Jean-Mathieu Bérubé,Blood Brothers,NA,NA,NA,Homme,Acting,,0.5082,NA,NA,1,,NA
Shane Acker,TRUE,71923,Shane Acker,NA,1971-01-01,NA,"Wheaton, Illinois, USA",Homme,Directing,"Shane Acker (born 1971, Wheaton, Illinois) is an American film director and screenwriter well known for directing 9 which is based on his 2005 student award-winning film, 9. He also known for directing several short films for the UCLA as well as animating them.

Description above from the Wikipedia article Shane Acker, licensed under CC-BY-SA, full list of contributors on Wikipedia.",0.715,https://image.tmdb.org/t/p/w500/wEon8gP1cHk4JAjAEHO8lyoRD6H.jpg,nm0009942,6,,./img_persons_tmdb/img_png/img_71923.png
Louis Leterrier,TRUE,18865,Louis Leterrier,"루이 르테리에, 路易斯·莱特里尔, لویی لتریر",1973-06-17,NA,"Paris, France",Homme,Directing,"Louis Leterrier (French: [lwi lətɛʁje]; born 17 June 1973) is a French film and television director. Best known for his work in action films, he directed the first two Transporter films (2002–2005), The Incredible Hulk (2008), Clash of the Titans (2010), Now You See Me (2013), and the tenth and eleventh Fast & Furious instalment, Fast X (2023) and Fast XI (2026). He also directed the streaming television series The Dark Crystal: Age of Resistance (2019) and Lupin (2021).

Description above from the Wikipedia article Louis Leterrier, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.6526,https://image.tmdb.org/t/p/w500/bpqqRRyCLeoAup2OAv1Dtm5C8Tn.jpg,nm0504642,13,,./img_persons_tmdb/img_png/img_18865.png
Agasi Babayan,TRUE,1057568,Agasi Babayan,А. Бабаян,1921-12-21,1995-11-17,Chigdamlu Armenian Soviet Socialist Republic,Homme,Directing,,0.7607,https://image.tmdb.org/t/p/w500/10aDwu1PAatf79NaDBs64R9lELY.jpg,nm0044766,12,,./img_persons_tmdb/img_png/img_1057568.png
Baz Luhrmann,TRUE,6201,Baz Luhrmann,"Баз Лурманн, Mark Anthony Luhrmann",1962-09-17,NA,"New South Wales, Australia",Homme,Directing,"Bazmark Anthony ""Baz"" Luhrmann AC (born Mark Anthony Luhrmann; 17 September 1962) is an Australian film director, producer, writer and actor whose various projects extend from film and television into opera, theatre, music and the recording industries. Some regard him as a contemporary example of an auteur for his style and deep involvement in the writing, directing, design and musical components of all his work. He is the most commercially successful Australian director, and four of his films rank among the top ten highest-grossing Australian films of all time.

On the screen, he is best known for his Red Curtain Trilogy, comprising the romantic comedy film Strictly Ballroom (1992) and the romantic tragedies William Shakespeare's Romeo + Juliet (1996) and Moulin Rouge! (2001). Following the trilogy, projects included Australia (2008), The Great Gatsby (2013), Elvis (2022), and the Netflix television period drama The Get Down (2016). Additional projects include stage productions of Giacomo Puccini's La bohème for both Opera Australia and Broadway, and Strictly Ballroom the Musical (2014). In September 2025, his first documentary, EPiC: Elvis Presley in Concert, premiered at the Toronto International Film Festival.

Luhrmann is known for his Grammy Award-nominated soundtracks for Moulin Rouge! and The Great Gatsby, as well as for his record label, House of Iona, a co-venture with RCA Records. Serving as producer on all his musical soundtracks, he also holds writing credits on many of the individual tracks. His album Something for Everybody features music from many of his films. Also, it includes his hit ""Everybody's Free (To Wear Sunscreen)"".

Description above from the Wikipedia article Baz Luhrmann, licensed under CC-BY-SA, full list of contributors on Wikipedia.",2.1681,https://image.tmdb.org/t/p/w500/8K8ih7uFyGanOApYYzlzdxzcfDF.jpg,nm0525303,10,,./img_persons_tmdb/img_png/img_6201.png
Jakub Roszkowski,TRUE,3365659,Jakub Roszkowski,NA,NA,NA,NA,Non specifie,Acting,,0.5603,NA,NA,1,,NA
Vikas Bahl,TRUE,1042011,Vikas Bahl,NA,NA,NA,"Lajpat Nagar, New Delhi, India",Homme,Production,"Vikas Bahl is an Indian film producer, screenwriter, and director, known for his work predominantly in Hindi cinema. He produces films under Phantom Films, and was the former head of UTV Spot Boy. He has won three National Film Awards and one Filmfare Award.

He is best known for his 2014 movie Queen which won him the Filmfare Award for Best Director alongside many more accolades.",0.8595,https://image.tmdb.org/t/p/w500/dSq2u9LkYyFzLf5PwwLTciKbwLj.jpg,nm4318482,11,,./img_persons_tmdb/img_png/img_1042011.png
Benoît Mariage,TRUE,105752,Benoît Mariage,NA,1961-01-01,NA,NA,Homme,Directing,,0.6498,https://image.tmdb.org/t/p/w500/tmuKGoepZq9RoAIR8isocwoy1z.jpg,nm0547017,10,,./img_persons_tmdb/img_png/img_105752.png
Sean Durkin,TRUE,527607,Sean Durkin,"Timothy Sean Durkin, T. Sean Durkin,  Шон Дуркін",1981-12-09,NA,Canada ,Homme,Directing,"Timothy Sean Durkin (born December 9, 1981) is a Canadian-American film director, screenwriter, and producer. Durkin is known for directing the critically acclaimed independent films Martha Marcy May Marlene (2011), The Nest (2020), and The Iron Claw (2023). He is also known for directing episodes of the Channel 4 series Southcliffe (2013) and the Amazon Prime Video miniseries Dead Ringers (2023).

Description above from the Wikipedia article Sean Durkin, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.0156,https://image.tmdb.org/t/p/w500/jgXoDmUoldBtL82P1UvojAApIZd.jpg,nm1699934,8,,./img_persons_tmdb/img_png/img_527607.png
Frédéric Nassig,TRUE,3219680,Frédéric Nassig,NA,NA,NA,NA,Non specifie,Directing,,0.2719,NA,NA,1,,NA
Robert Cahen,TRUE,1305092,Robert Cahen,NA,1945-01-01,NA,"Valence, Drome, France",Homme,Directing,"""Since the 1970s, Robert Cahen's research is haunted by the notion of passing: passing from fix imaged to moving image, passing from a place – and a time-to another, transformation of filmed reality and eye, exploration of sound related to the image. His approach is part of an always renewed dialogue between visible and invisible, narration and poetry, confronting another world, a world made different—beautiful, disturbing-by metamorphoses of time and space."" (Sandra Lischi)",0.5501,https://image.tmdb.org/t/p/w500/FmOZh0dH1DeEDbja7brcmZxQgO.jpg,NA,47,,./img_persons_tmdb/img_png/img_1305092.png
John Irvin,TRUE,17784,John Irvin,NA,1940-05-07,2026-08-11,"Newcastle-upon-Tyne, England, UK",Homme,Directing,"From Wikipedia, the free encyclopedia

John Irvin (7 May 1940 — 11 August 2026) was a British film director. Born in Newcastle upon Tyne, he began his career by directing a number of documentaries and television works, including the BBC adaptation of John le Carré's Tinker, Tailor, Soldier, Spy. He also made several action films in the 1980s including The Dogs of War (1980), Raw Deal (1986), Hamburger Hill (1987) and Next of Kin (1989). In the 1990s and 2000s, Irvin directed films such as Robin Hood (1991), When Trumpets Fade (1998), Shiner (2000) and The Moon and the Stars (2007).

Description above from the Wikipedia article John Irvin, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1.3009,https://image.tmdb.org/t/p/w500/gF3FWhmbiwD96E1DP68F07LkX1m.jpg,nm0410139,36,,./img_persons_tmdb/img_png/img_17784.png
Alain Corneau,TRUE,35927,Alain Corneau,Alain Cornaud,1943-08-07,2010-08-30,"Meung-sur-Loire, Loiret, France",Homme,Directing,"Alain Corneau (7 August 1943 – 30 August 2010) was a French film director and writer.

Corneau was born in Meung-sur-Loire, Loiret. Originally a musician, he worked with Costa-Gavras as an assistant, which was also his first opportunity to work with the actor Yves Montand, with whom he would collaborate three times later in his career, including Police Python 357 (1976) and La Menace (1977).

He directed Gérard Depardieu in the screen adaptation of Tous les matins du monde in 1991.

Corneau died on 30 August 2010 from cancer,  and was interred at Pere-Lachaise cemetery.

Description above from the Wikipedia article Alain Corneau, licensed under CC-BY-SA,full list of contributors on Wikipedia.",0.8352,https://image.tmdb.org/t/p/w500/t6ovdhUwIxOGbUzmnkAZBrEEuPc.jpg,nm0006734,19,,./img_persons_tmdb/img_png/img_35927.png
Tobe Hooper,TRUE,10051,Tobe Hooper,"토브 후퍼, 托比·霍珀, Willard Tobe Hooper",1943-01-25,2017-08-26,"Austin, Texas, USA",Homme,Directing,"Tobe Hooper (January 25, 1943 – August 26, 2017) was an American film director and screenwriter, best known for his work in the horror film genre. His works include the cult classic The Texas Chain Saw Massacre (1974), along with its first sequel, The Texas Chainsaw Massacre 2 (1986); the three-time Emmy-nominated Stephen King film adaptation Salem's Lot (1979); and the three-time Academy Award-nominated, Steven Spielberg-produced Poltergeist (1982).",1.468,https://image.tmdb.org/t/p/w500/rE5TqnAvgaKjWwWZ9AsoU9KcUGU.jpg,nm0001361,26,,./img_persons_tmdb/img_png/img_10051.png
Bob Rafelson,TRUE,19450,Bob Rafelson,"Robert Rafelson, Боб Рейфелсон, Robert Jay Rafelson",1933-02-21,2022-07-23,"New York City, New York, USA",Homme,Directing,"Robert ""Bob"" Rafelson (February 21, 1933-July 23, 2022) was an American film director, writer and producer. He was most famous for directing and co-writing the film Five Easy Pieces, starring Jack Nicholson, as well as being one of the creators of the pop group and TV series, The Monkees (with Raybert/BBS Productions partner Bert Schneider).

Rafelson was born in New York City, the son of a hat manufacturer. His uncle was screenwriter and playwright Samson Raphaelson.

Rafelson and Nicholson have been collaborators for over thirty years. Nicholson and Rafelson wrote and produced and Rafelson directed Head, starring the Monkees, in 1968, followed by Five Easy Pieces. In subsequent years, Rafelson directed Nicholson in four more films, including The King of Marvin Gardens (1972), The Postman Always Rings Twice (1981), Man Trouble (1992), and Blood and Wine (1996).

Rafelson has adapted the works of legendary noir authors James M. Cain, Raymond Chandler, and Dashiell Hammett.",1.0343,https://image.tmdb.org/t/p/w500/tRTlLdcgGdV0R3EgrZig9zQw0Tk.jpg,nm0706182,16,,./img_persons_tmdb/img_png/img_19450.png
Jim Abrahams,TRUE,12936,Jim Abrahams,"James S. ""Jim"" Abrahams, 짐 에이브러햄스",1944-05-10,2024-11-26,"Shorewood, Wisconsin, USA",Homme,Writing,"Jim Abrahams (May 10, 1944 – November 26, 2024) was an American movie director and writer. Abrahams was born in Shorewood, Wisconsin, to a Jewish family, and attended Shorewood High School. He was known for the spoof movies that he co-wrote and produced with brothers Jerry Zucker and David Zucker, such as Airplane! (for which he was nominated for a BAFTA Award for Best Screenplay) and The Naked Gun series. The team of Zucker, Abrahams and Zucker (also referred to as ""ZAZ"") really began when the three men grew up together in Milwaukee, Wisconsin. Abrahams later produced movies on his own such as Big Business, and further honed his skills in parody with Hot Shots! and its 1993 sequel Hot Shots! Part Deux.",1.2538,https://image.tmdb.org/t/p/w500/22B24mvWEkorhoxEOPCxNcYdcTX.jpg,nm0000720,10,,./img_persons_tmdb/img_png/img_12936.png
