df_goopldet.place_id,df_goopldet.adresse,df_goopldet.nom,df_goopldet.telephone,df_goopldet.url,df_goopldet.types,df_goopldet.type.princ,df_goopldet.note_globale,df_goopldet.nb_notes,df_goopldet.moy_anciennete_avis,df_goopldet.med_anciennete_avis,df_goopldet.nb_notes.s,df_goopldet.type.princ.fr,df_goopl.id,df_goopl.reference,INSEE_COM,df_goopl.lng,df_goopl.lat,df_goopldet.moy_anciennete_avis.rang
ChIJ7_fygl5t5kcRjGVPrd1T8hU,"43 Boulevard Rouget de Lisle, 93100 Montreuil, France",Banco Bpi,+33 892 56 79 09,https://maps.google.com/?cid=1581418630721004940,"c(""bank"", ""finance"", ""point_of_interest"", ""establishment"")",bank,,0,,,0,banque,487341769bf90af12db53dfdd83bcc1e01cfbd19,CmRRAAAArFt7MEsiqAlvikrYQbPnM6-QPmhtQ_wW5awuXRQwwNG_hDDRNcySj6gnfl0k-WrcLiZflDs3y8b-nhk2jiokPSyGyu2pzkKeckHO47oaCUYlF7UO5kB6QTrTOItCMb5XEhCWllUuNjgtsXZiXm4ExqI6GhRYLQjITtOVskaD5fR1IQqvuqda1g,93048,2.4381288,48.8591503,
ChIJ7_v88KwS5kcRKBMwzevAlMk,"40 Rue Bel air, 93100 Montreuil, France",Maison de quartier - Centre social du Grand Air,+33 1 71 86 80 10,https://maps.google.com/?cid=14525446817169019688,"c(""point_of_interest"", ""establishment"")",establishment,4.2,5,144.4,130,5,établissement,36ada7cec4536bd7a25195f0d310f70fb6083d3f,CmRSAAAArkgptAh4ENExdGpLzssxFF2kmnEH55F15RbjvWbfjnr4dMk4WDKC_DS05f0nniRujk9ClqDj7mz295iDkpLmM8gcNFNvkGSlaHIK9ekbAPxTqXTYDd5JEU0bPtMKo7EzEhCQcPGmKUa0ral0Ce89D8AkGhR9przpe90v978hb8AEuuybAq_cfQ,93048,2.4596812,48.8605183,306
ChIJ7-OINK8S5kcRCJ2ZiVe7fA0,"268 Boulevard Théophile Sueur, 93100 Montreuil, France",franprix,NULL,https://maps.google.com/?cid=971857604250279176,"c(""supermarket"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment"")",supermarket,4,1,77,77,1_4,supermarché,9e8a2fc18971e0a731b0ad12e40791afbb07f3c2,CmRRAAAAQblZv71IwSsL-sQCvA5UNBLE3ppalLsE3GwK_wQew2cBHya44Cnng7VqVRq5pMTwtiPlpVSYekTwaHC5xbnRQhDCT_nMJwKKEzziuMrA_1rpSTGeiR_K3Yk8cEu9slIjEhBUe1rbewK2Xc4e209vhBfdGhQbKGy0tLoJWYCaAXWx7-FFQxICXQ,93048,2.4666884,48.8588402,
ChIJ7-WJekxw5kcRxWSOW1QuPFE,"22 Rue des Fédérés, 93100 Montreuil, France",Emmaüs Alternatives,+33 1 48 51 64 51,https://maps.google.com/?cid=5853604555522991301,"c(""point_of_interest"", ""establishment"")",establishment,3.8,5,326.4,173,5,établissement,6f8f6e6fe7ff74947e73ca6c15c7894c868d33c2,CmRRAAAANA4ChKxHsMrok7iEFKOC02E6yB6yTEXKAExl08X8xCYpi_fq3OW11HGYkCf6ZmFmLtuCszj52tXerJKR-uoaeuVhPMWZmjPK70ufJazsEiuHAohwobLMqGgMA6O4utjrEhDqN7X5dbZCrml3a1Qb1aRmGhQOUNU7r7lPLpE9Vdqm9qHz-7RU6A,93048,2.4327504,48.8520805,586
ChIJ7-x-JLUS5kcR7SPeoCPwOO0,"74 Avenue du Président Salvador Allende, 93100 Montreuil, France",AD Expert Garage Terroni,+33 1 42 87 58 55,https://maps.google.com/?cid=17093676421498151917,"c(""car_repair"", ""point_of_interest"", ""establishment"")",car_repair,,0,,,0,réparation de voiture,308b8f7c4c870368d18c89c74d6877bfb1092b24,CmRSAAAAk1Np8_H59IvBq1l6M5pc5obvb9yUm1iSvcektMpedODRngMlVuBtZt6eSX5sTID9Qfgj_8tD17NKkPwsbpjv08apVD9W24wrVxA4hGUp9f1oACaGXF2ydos5eHX6jRFbEhBrk4H_fdVKhZh1bwJwPGSWGhQcLw8aYxuPDE6B3-RTlAzqc8kxiw,93048,2.4597004,48.8718056,
ChIJ701GC6By5kcRBufyKx1y1oQ,"63 Rue de Vincennes, 93100 Montreuil, France",Cottin Jean-Marie,+33 9 54 99 02 07,https://maps.google.com/?cid=9571963527639525126,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,ab63563da3e2ba748933589e346668ee4e2cca98,CmRSAAAAcE5lSN2CAhzLDHi5fPkWjBUDg8S003Wg15OIyzogpF9vF4xTroL6G4cce2zrIBN0O0kto9cDpvDv2oZYoTizAEbJEyGrMUdOqeO9H6zPag8sISspULa6YtBsXxehiF1BEhCnaIqdPruJBfT-ID5rH_m-GhTvFsOqEfM_BVI2OCm0IdpdigLIZg,93048,2.4357594,48.854082,
ChIJ703sH7Bt5kcRYLGFlgNvXWk,"10 Place Du 14 Juillet, 93100 Montreuil, France",Touil Fouad Lamine,+33 1 70 07 53 18,https://maps.google.com/?cid=7592346608017453408,"c(""home_goods_store"", ""store"", ""point_of_interest"", ""establishment"")",home_goods_store,,0,,,0,magasin d'articles de maison,53af0de2d824492143ad1d925a7116a6b8a9b850,CmRRAAAAtPMfEojVsCI98NtOgnoU8j2IKV73ZKI61eWXad7Xm7BIbZ_kAC4dKKSDkRNTYjt555cXsTY35K3taMU5aPD9qku-UPJ_7o6Sf_fuxLHTRwaxfFMrwRl1myJifUl_5XdnEhD8C_QpGPHMFGmQbgFSAjf1GhT1yqDY3Fkfp8fcA-C1JOr8_z3RUg,93048,2.441809,48.859315,
ChIJ70dlDVxt5kcRKRvGA1sfEMc,"23 Boulevard Rouget de Lisle, 93100 Montreuil, France",Stéphane plaza Immobilier Montreuil,+33 1 82 30 28 50,https://maps.google.com/?cid=14343999288940829481,"c(""real_estate_agency"", ""point_of_interest"", ""establishment"")",real_estate_agency,5,2,209.5,209.5,1_4,agence immobilière,8fe9d39492f64a478ac7d25bda5088e3a0068a1b,CmRSAAAAyXisL7uXwPqR_xg2KxGlDxTGfKetCPmifyIKkySws2s7KfIGLKfn2W4S_Zg4TD6Q__MSYjH0sgzp-sIOIcmeABkF0D_ih2OWrsrPdiGcgK423Nw2vguiFKpzAtrPbnyDEhDJkPnR9mVWW3GthCi1kEapGhS5lkqmTuzSh8HRS2wUzBLBAKipqA,93048,2.4397974,48.8604307,
ChIJ70KMLFBt5kcRF1FdbICa69Y,"Rue de Paris, 93100 Montreuil, France",Romain Kergroach // Graphiste Webdesigner,NULL,https://maps.google.com/?cid=15486641620008128791,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,c3cc73784c77d1bf0eb0c3ac176cfbfda68faf5c,CmRSAAAAU68AE8FcZ6jKv7meJbU-jcZ-1NHyH8oy3qr8YhEB0KGLs0z8pYebARY7yl3_VCaPs2niQ1KVAnC_ePQTodMT8Pv7I479w59P9kOaaD0g8BArpZ9_56J8HixlwiO2xh9KEhAuUznX1Ctg0oyyz5S02KyMGhR5H25dz7gdUIVdqgUa_7nvMPbY4g,93048,2.4357682,48.85793,
ChIJ70vmALcS5kcRfxoG2VHKLt8,"1 Impasse du Bol d'air, 93100 Montreuil, France",Conception et Coordination de Projets,+33 1 48 59 99 05,https://maps.google.com/?cid=16082013772268837503,"c(""general_contractor"", ""point_of_interest"", ""establishment"")",general_contractor,,0,,,0,entrepreneur général,4ff5c46a2932796db67a1b58391e9ff45706ba05,CmRSAAAApXND4pqGpFmkPe7mMBo7c8AksjUWfHRpG6JlJlJy-Y7zWfUFF452f6jC405lyggu8TRNDTVRtIiFsgLniP1CLhvGkqb1fbLI085pzSsJgHfl34vEacnzLAnRUfWIHxS_EhDsYQwLA53aMc-r7KdEx1KfGhRVlQ5ihRsPmSTIZfK9671xx-U5NA,93048,2.4670828,48.871241,
ChIJ718HV4Ny5kcRJ0apGSj_Rc4,"2 Rue Henri Rol-Tanguy, 93100 Montreuil, France",ONF Arborial,NULL,https://maps.google.com/?cid=14863566692900488743,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,a266951ffe4ce7440054c90abeb17f45b46ad262,CmRSAAAAotu5uUoPTk7-BiA_IOj0K1J8zw3dO4vB_QlcXY7nMTw9pCYDl0gf0n43-xpoU6hY_oHyHIa-Qw1jRoG_qMfAoOO8rjVxsSFooLmmnbXGZgi342ubBH5zQAvrMqXgWal0EhAqa_46Vx9cVcm6q9SP5K6qGhRXLxN-S21u1lQiHXj0QAgS8VAd5A,93048,2.4221007,48.849748,
ChIJ71Tkbmdt5kcRRfDfOGvReqk,"18 Impasse de la Fossé Pinson, 97490 Saint Denis, France",Mairie (Centre d'Accueil Municipal),+33 2 62 28 20 03,https://maps.google.com/?cid=12212303598014427205,"c(""local_government_office"", ""point_of_interest"", ""establishment"")",local_government_office,,0,,,0,bureau local du gouvernement,62c5ddd5f6019c2bbec50e996a2b7ca7dbf20e05,CmRSAAAAaI39gdv-xEBqXmxQmje9Fr1jjd2W9Yts24UUObtBngh19zLNqXOvzENS5nm04sNmkOAa36lgvM5PUO2J2UF-wk79_4UKlTi2egZcgaIYMrR_2b0fItVJi5Cic6oPY5m3EhA4fTt9liKTpbMB6_i0G-_BGhQbEpOXVOfskcPGD-kHy2nQ5YA9Yg,93048,2.4339746,48.8610909,
ChIJ72CyDFlt5kcRAsNLMCOVr9E,"42BIS Rue Molière, 93100 Montreuil, France",G.Marohal,NULL,https://maps.google.com/?cid=15109459253217968898,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,4a518ef2949c7efc26e1d5941e350e33c1d414fb,CmRSAAAAvl2hkwIekr4eibXDlFm7T5ompti5B7UzIhHk2Q4gVi5FouhJOXwX97RSRAMXKxhPA2osmjboASFnC95FvOQTpTAIIjvdYxVZWBRQlTfMpwROBTaUE85JD4norypVQrn3EhBN7uXfgKYreydhAV-EQDriGhTVhB9s_dZU-XcZJ19tFjy4GjgeZA,93048,2.4426651,48.8579573,
ChIJ74TVk6gS5kcRCk_k8iTKfLk,"300 Boulevard Théophile Sueur, 93100 Montreuil, France",Hadjidj Yanna Regina,+33 9 72 98 29 49,https://maps.google.com/?cid=13365780054171471626,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,6778b966a34b84c2c9f3dcb696c3703259cd785d,CmRSAAAA-lGgZL5OimHEMO3uXbT7xE5518TkyNpRPITiwpfVf2F9yzxLH1jj78gNyGtPQD7AdVw2h03jUapkT7cpItpuHRJcP0OB-puaLUK9wr8B6AeLBz34NVP4lxYCRoUrgX5uEhCxG3m-4rWsiBk4IcSer9gTGhSE3DjiydIwwh9EmOGK2S1CtjUprQ,93048,2.4670417,48.8573417,
ChIJ74zGimBt5kcRFwXpClNNIeY,"9 Rue Edouard Vaillant, 93100 Montreuil, France",Pluribus Michel Fugain,+33 1 41 63 61 49,https://maps.google.com/?cid=16582620322015544599,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,be81e4b96be90d41e74c36b9938e28380abcc896,CmRSAAAAspRYsOo4kxy1hj5SQQmaBbEwznUYJR0PExuLy8uO8o-J7d2TbowU0oEymNhPHZ8H2YfSi3JOQGWHiUoedSAqWxF0jeDLRI8bvf68ChLcmUWsAHeMe50iqzF4F-dQV_yvEhB2PUe4ZupBFavhSGsw-NSvGhTPJqldbQ6u78Wrp0EsTYLYp7tDHQ,93048,2.4331915,48.8569681,
ChIJ74zGimBt5kcRVqOjosUJYlU,"9 Rue Edouard Vaillant, 93100 Montreuil, France",Ensemble Calliopée,+33 6 47 24 18 35,https://maps.google.com/?cid=6152490785383359318,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,6be23eb87c945e1510833a45f4926c6c8d4fb2b1,CmRRAAAAgofGK17zdHY3NTvShtR5xsgThBCfdUqVZEWgDPKWgn7wfmVNKUQH64W3HIg4mw4Y_yZRcrnw4Ichlh_4u15u8LNJnwfh2nKi3g7i9aWRhgWHpiFh-0r0l12gFDvRqg2QEhA1Su6vSmVR-4U8twIfvEb9GhRmQ7nW_ZcZscWGA3-IWYcBXkoNoA,93048,2.4331915,48.8569681,
ChIJ75B-62Nt5kcRSg0TTirGiSE,"107 Boulevard Chanzy, 93100 Montreuil, France",Cap Chanzy,+33 1 49 88 14 90,https://maps.google.com/?cid=2416680560061779274,"c(""car_repair"", ""point_of_interest"", ""establishment"")",car_repair,3,2,162,162,1_4,réparation de voiture,00e7c1cba5a1c48eee2922a78ed6e26f9a39d2c5,CmRRAAAA2v8V6XU5o2duc7P48wBCw9WhjItIuMtGyPgI0LrzrnaSUWvaWG3eawhP6uOZcxRudpuiYoE_srHcz3arTYOeSMZx8QGechJBlYWOsNE9rVcKj9Ku-2HDPZxTiE3y3YuZEhCS-jKtl7ojNAzXlMgLUmO1GhSdzRpEZb6UWMRlXMXuA2fafS-sFA,93048,2.427772,48.8585655,
ChIJ763tBFtt5kcRKtQjx0rQDqw,"Place Jean Jaurès, 93100 Montreuil, France",Box et Compagnie,+33 9 83 33 67 70,https://maps.google.com/?cid=12398075843784725546,"c(""store"", ""point_of_interest"", ""establishment"")",store,,0,,,0,magasin,0f23c4e828daa3093a1d7f4852765d8c9a8f5de1,CmRSAAAAA1PbIMi-9nK3LByV93N04Vtf9Yvqo_iQBYIfE4WBBd1I0BMZQqPvzQb8E0oX63UnCRO7f1BnjO9F8_5OCVJ-32IPF9F7xnPGWrtlaXH6Wuk7ygCIP0NIacEP_5_bkfUGEhAwJQlU__6mNSxQO5EzPU60GhT3RzXi6SabmfZwyg7sNQPOL-uDRw,93048,2.4429828,48.8622577,
ChIJ76YiZltt5kcR3H-X68pnPLw,"93100 Montreuil, France",Mairie de Montreuil - Pasteur,NULL,https://maps.google.com/?cid=13563830298966720476,"c(""transit_station"", ""point_of_interest"", ""establishment"")",transit_station,,0,,,0,station de transport en commun,673f9ac4bef76e6d0da42884f5b8d2d95a4d6d7b,CmRSAAAAfMlrBYYDGzWnpIMliRsizio7ihVveQ31F5jx2lkJgFSswAtyT7BIbGSbDQZAZCf1Hw0hqWnwVMfyQL0pMrIM9Tz7KhDkvT2p676pbGuQDj8uGG5ebn6IajoaVZmfkZOIEhA3g67V9yeu4b-jDFyTkKPpGhT08g_k0ClpvaaKMXCxQRa62_GfvQ,93048,2.44133,48.862796,
ChIJ77_qEFtt5kcR6-EgQxebg-I,"93100 Montreuil, France",Nexity,NULL,https://maps.google.com/?cid=16322059998733591019,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,47e930784d13dacb508dce2ddc9cfeb75487f4f8,CmRSAAAAJYbnmRukOrUqGEf24viisdUyNTlniFgS4gxY5lyC9t-bFBnu3AZSyy0Y--bGRbtgtzKl0zYXcs2k8vaCViJGgr_vG4jeq-fl9w7p3GctH9iRGgcJguR96u7fVj2hQeKmEhBh046IavkBaqAeEvIQVFNbGhQ7sqd5bx137anTPBwr8UG03GOisw,93048,2.4426689,48.8626049,
ChIJ77nVQVlt5kcReSw5490YXrk,"30 Rue Molière, 93100 Montreuil, France",Ego 2C Sarl,+33 1 48 57 42 46,https://maps.google.com/?cid=13357140886106483833,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,e898cffbe0f78103381fed30ed914cf3f6a8a2ee,CmRSAAAA_3XCThFvcor3bdx-E2dKUir3SrKNxWi-JeUjd_7CDojPNFom1jbbb-eTjABTUFvwadCZQpxaLagq4LQ6Fuu8DBaSZZs5fXftzrffxzvWLaeLjukT1OP1z_YOMDDexyCpEhB6YY3XdTo9FYDdKIsb9USgGhQ4-Vv1tsoELdY08-tfiQwCeyM_jg,93048,2.4417148,48.858106,
ChIJ77nVQVlt5kcRQIAv-M2BriQ,"30 Rue Molière, 93100 Montreuil, France",Bourgeois Florent,+33 1 42 87 47 40,https://maps.google.com/?cid=2643192752945201216,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,e1463f10118a9447a3c9332594ef302c12e42201,CmRRAAAAL9tdN47ZU_npa_6tw212V81GU8a-sEdgmWLsyIGnGkFAjrfZ9hqaKLxK5h7cPheiP16Xet9qGesLZbC3UbhaY3O9gn8n1Fw-vKZlb8Bga2sTLKvisTLvEwvBy2_9E4q0EhA63RYWgNIwyW9llR8QcqAUGhQzUoHVNphqjI3VJZb4ip8LHngk3A,93048,2.4417148,48.858106,
ChIJ77nVQVlt5kcRt57ziKH8Itw,"30 Rue Molière, 93100 Montreuil, France",Hus,+33 1 82 13 90 39,https://maps.google.com/?cid=15862518608269909687,"c(""point_of_interest"", ""establishment"")",establishment,2.2,5,81.4,47,5,établissement,4fb821f16e6ccae98e0d1efafd6409227a4b39f2,CmRSAAAAqTNawFefIW6SPyDeWyYS-Y-gk1aGTYqf8ypwJmNf1w391xreELZl_3_K8aHFNlKoB5Xx3qNmEMGjU_WF1yElcUS9j-TyUcpYU_BA5R8TDhNQbH-p1I8KsmkzQowdwCDmEhB4MFxAqj6IyiwBpmP6uR95GhQz8i4Kc70pSLcHOPfe-kcAGHKMQA,93048,2.4417148,48.858106,160
ChIJ77qttlpt5kcRfkLzgpsKDlY,"18 Avenue Walwein, 93100 Montreuil, France",Abigail Saire DIY*For Kids in English,+33 6 60 68 19 23,https://maps.google.com/?cid=6200905399968940670,"c(""school"", ""point_of_interest"", ""establishment"")",school,5,1,879,879,1_4,école,9768fe364d2cdb833188f4e806d6e76b978a92c5,CmRRAAAA0SpC0t6e5_p87RZqvuSCMCqzzknbZqCm3HxzkwSZtAUo93DY-VfprwD8P6GKQ54b2uDFwFjGR3QAf6uA3nlJC7YyXXWnj403SfxPHoXG6zC9oRPx0wMYyXHUHCaEVOaCEhALQS5JWDSpL7TjncxNGoxwGhT5idBweV___NN9ZMGJaJO82kH1NA,93048,2.444564,48.861691,
ChIJ77ry7Eht5kcRlnifQDX5Ozk,"5 Rue d'Estienne d'Orves, 93100 Montreuil, France",Rodrigues,+33 1 48 51 79 69,https://maps.google.com/?cid=4124163890900596886,"c(""general_contractor"", ""point_of_interest"", ""establishment"")",general_contractor,,0,,,0,entrepreneur général,441ce1aee797a14c11f11c20e6db403dc0f801aa,CmRRAAAA8R8UQCLc67KpBv9YlIHsAIDxghON1dxNqelRBvQ_UCTAnTfN91UPxRbKYj3duy5QWzjPc7N4ooSbn9IWLzGGGy_oDYcwbQHysSS4gIFXRd8rAj0xJa1Fm_j01NYde5zLEhDaPpSrWDZiXNeu4YbUbNjBGhTylEBgQOjyPcFFdLpZWzDyCVMQXA,93048,2.4483336,48.8708103,
ChIJ77yJAbMS5kcRgxPmzFrySno,"28 Rue des Jardins Dufour, 93100 Montreuil, France",Collège Césaria Evora,+33 1 48 57 47 00,https://maps.google.com/?cid=8812122092702405507,"c(""school"", ""point_of_interest"", ""establishment"")",school,4.7,5,238.4,179,5,école,550bf70e1750004e913455710ede3c98dfdc08e8,CmRRAAAAxHLU1nWU8k_ZQJj9akU_uaiMddEULQZiI8yuZe3Bmh5SnxTMKxxBRWrgaUuP3Qbh_GVqIU6l4SY8nOzfgUaQX3t-N0bNYqDvdvV-eNYc1MXsbqYxZUBALUjpez_UC6e3EhCbkF386c0l5p7mqi5TkZuXGhTPFnseSaFm_0YplIApsRj4XhXt3A,93048,2.4603636,48.8665083,470
ChIJ78Dx-lht5kcR9zZr88K1adI,"73 Rue Condorcet, 93100 Montreuil, France",Navajas Navajas Colin Beatrice,+33 1 48 59 57 97,https://maps.google.com/?cid=15161849469431658231,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,682e97a554075f68c19c9cb1830d52dbc88612df,CmRSAAAAtkZCabqQRyrEtqC3E9fUEAhBqMpIUwDL23N8NgO6TyKKZYn7ZuNNQb-wE0w1t3OWKUt0hDd2Hcy2M_9rcNt6Snj5T-VvlICRJpa543g8CjA_8uist6HY4CqZP_yw4-xvEhAkxCxr2lUc0-Nl87VC3myHGhTjJ6G_qmdBR_5w_4-xNs-rG_Ecfg,93048,2.4424376,48.8561251,
ChIJ78ijD9tr5kcRVi8dqDBDDuU,"4ter Nouvelle Cité de Tillemont, 93100 Montreuil, France",Association PALNEOLITIC,+33 1 48 22 81 04,https://maps.google.com/?cid=16505203560617422678,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,a9dbb341c89791854c4be89c680f688b464b012e,CmRSAAAAwYEDG5ffRXYDX3qWmBmwI--NXfchhZtFB7UDE16tfphKPLDDr9UNxmlRn_dW2fJvvtiN-La7V8mZnP8KHK_7rURA53eXMiJPsj8dmb6QKCn59XyZfMnVAZafOx5cFhD5EhBgCVYNPRSFn2pTls5JifVwGhTbT13KxXO2GV8nxTiPJbguK_fsew,93048,2.4628327,48.8581398,
ChIJ78MJG0Vt5kcRn6fpy3feKog,"41 Bis Boulevard Paul Vaillant Couturier, 93100 Montreuil, France",BV Meca Gal Précision,+33 1 48 18 16 60,https://maps.google.com/?cid=9811899344283608991,"c(""store"", ""point_of_interest"", ""establishment"")",store,,0,,,0,magasin,d6e03e894745471e02b1bc0d780a1c684a52ee4b,CmRSAAAA_ONugsJXw_pW_P7nl6QQQQTgnQQs3mW8a0R4Rzz3DbLD5L8Zv8zjt94Lll3DSdbNHlwT7YhTdN58FbcAbRj_reuP3XeHfMQNglefpAeB1GjhxQ7KNYMxByGrfV6orZ1UEhCcm89aWKGAirKFu29JNLnPGhQzF3Qh8LSTRvRq1KQKo72Wo-lLBA,93048,2.4440333,48.8659934,
ChIJ796tkZty5kcR_qvEtbgDXj0,"2 Rue des Laitières, 94300 Vincennes, France",HP Communication - Le Salon de la Plongée,+33 1 43 74 72 89,https://maps.google.com/?cid=4421975975982836734,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,71312e1bc2dcff8401cc4dd441c8424c6b9ba312,CmRRAAAAMS7_fEgEsJvRdnZbJoXzaA68lYS5sXkrEi46H0GlWdwIf6c9hN8tAgAR8nec70nflUQMGDwxc68cM21f0fDx-a9xPY8iJl0pf84n_NYovU77qZwO-U478PCWf5BcRSUWEhD8WEg1RvBjXqFhLZ6CMyIDGhQbvJHvTuzpuoCNvcXL_b-UXhpg2g,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcR-ItBAtLTdJE,"2 Rue des Laitières, 94300 Vincennes, France",Cabinet De Psychotherapie -Patarin Philippe- Psychotherapeute-Therapeute Vincennes,+33 6 19 44 72 51,https://maps.google.com/?cid=10481235131732429816,"c(""health"", ""point_of_interest"", ""establishment"")",health,,0,,,0,santé,1046dfe1b41f94f4b98ab7c092dc6e23d2c7cfb9,CmRSAAAAmmsVBGQPTOCSuW0iU4GqmvqTj1-p4pWY6ahQJZHwhuXeUP0F2dzFel25N6i9Rk1P1-OkBG-1Ge0yAALPOhVzsP02VmerAPpgukBtsmnC7pYoM68XoAF8K6-l8u24kKJUEhD5MAT_nNn-Jm6_3Dl1s6P9GhTdoMQela8zWJ_A507kzZC5XD9aag,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcRCzmDyjUOr1M,"2 Rue des Laitières, 94300 Vincennes, France",The Irish Club,NULL,https://maps.google.com/?cid=6030054050266036491,"c(""point_of_interest"", ""establishment"")",establishment,,0,,,0,établissement,fa93bbb8e705b72b998e73ae584394f2f601b165,CmRRAAAAnu8El8QGK5NdCpWlR2brz18PlspNTmPAHM5Ng-uGH6lzZUSv9Fq3ztN9j7YVfsMQFs5otBTYXYAHWXsPyQVE94GFNHwMq_rAsdoXsxHigFbUNFQXirTIdJy_zpQLTz7pEhBkebJamM6SMm8aLD7AU7qPGhSC84T8rYTcAk0ieAGbEEZgcc2iNw,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcRdBLpHQBlS2o,"2 Rue des Laitières, 94300 Vincennes, France",Gestalt Thérapeute - Philippe Patarin,+33 6 19 44 73 51,https://maps.google.com/?cid=7659326642449879668,"c(""health"", ""point_of_interest"", ""establishment"")",health,5,1,981,981,1_4,santé,e257cb2e3187a74eb700ec74995a0739d19f6651,CmRRAAAAwhrOt-WzNdTsfvnMGZhCkqub6bI2WmJFugIiHbMwKgJZVfkUHborIm7H0-4GS1lRNI2J9s2glwybfrfzbzM7IGJ5azHRiaboCjrV7AYBulRZRIL06Q5cN71bKxNO-VgHEhAwx4MyKViOxm5-MOWh_FbKGhSyxxWuVnDb8zULdzwkZZ6fNoR4mQ,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcRErGnE9KcP5c,"2 Rue des Laitières, 94300 Vincennes, France",MoneyGram,+33 9 50 80 68 03,https://maps.google.com/?cid=10898602049346711826,"c(""finance"", ""point_of_interest"", ""establishment"")",finance,,0,,,0,finances,f2ed207bdfa8099009298a511abcdd95a85601cb,CmRSAAAAhe-r3Up4bygEFl4u-5uulbvt8Wxv4m9JSGwzAmxhzvBfNCW2whQFX7Qn32lSTyBAcpHjGORzLhnvvsQ3iVNyKDvhWC7iR9N-w5_fq2ebwIMEB9BuZuFMFIW0wPfsV2LNEhAdFJwVAWB74APEu1yjSfxCGhTYJOTH9qW33M6r2Pn-IerPaOQetg,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcRIA6PPUSz2sE,"2 Rue des Laitières, 94300 Vincennes, France",Renaudin Stéphanie,+33 6 17 97 07 59,https://maps.google.com/?cid=13968674299914948128,"c(""point_of_interest"", ""establishment"")",establishment,5,1,22,22,1_4,établissement,d25c1aded2b41f4d06f53965074f3aba7b285e20,CmRSAAAA4inAHQM83jCNAJnsHTyYF0jQiHRgxiuPgtcukOpzlyZU7YoyrX6F8Yafi4omjDBI-sQjjBE_puRbrz4sMls52XZWjPceMBIpFFoSeTQ1364IcewfK_h1SKdTVeNeXm_jEhDpa6ngIEo_UBNXaxDzBsaRGhT4m-ZvTiFNT1e_O6Ox2_KRIgK8Fg,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcRMig9D1dIZXA,"2 Rue des Laitières, 94300 Vincennes, France",Laurence Devillard - Psychothérapie,+33 6 68 27 43 99,https://maps.google.com/?cid=8098959043650725938,"c(""health"", ""point_of_interest"", ""establishment"")",health,,0,,,0,santé,ae78ef5262e706a091c9d3174a5ccb75136de2d5,CmRRAAAABw-ihQmc1_DY2e0ziakc2PWnngyO7axviDLtbKKwRfulQJswFk2-8g_EYUxw2Kn_N9-ozqw638cP2gU2PcLSfJZwj5zmJG3xLPxvAMkFyLLBf3kTDhaSvzAwpJwqvQFIEhB5M983CUt_qE6m-OasopWrGhRSWkgv79cKi-GqG_TR92NqVYNWuA,93048,2.4259573,48.8487623,
ChIJ796tkZty5kcRPqFSZGKwWD0,"2 Rue des Laitières, 94300 Vincennes, France",Cécile Behar - Psychlogue Clinicienne,+33 6 61 82 30 14,https://maps.google.com/?cid=4420476970900562238,"c(""health"", ""point_of_interest"", ""establishment"")",health,,0,,,0,santé,7a3d811c0ca905db4e9a6d91dc40a16dd6d81b02,CmRRAAAAOFtl0X95FvS0JV8FxMtZFZ2DoqFZqPED-BqM4xYctUuQEhEyEjxF3YPTD7DtjpgKD9EAO93hT1o_FcKJXHIOQToczLFl8yBxeEh21hu6XCe3wb7owh-AcklYCb7cybMKEhBX4gp-bRkg1w0wHm5kVFkkGhQjikKwjD10EQRKSyeEKJB3Hu--3g,93048,2.4259573,48.8487623,
